num	disc_10KHz_f	disc_100KHz_f	disc_1000KHz_f	disc_10KHz_p	disc_100KHz_p	disc_1000KHz_p	disc_10KHz_n	disc_100KHz_n	disc_1000KHz_n
339	45229824	20659968	38320128	86060032	60480000	35500032	23350016	71180032	18759936
340	44280064	22610176	38029824	84169984	60189952	35220224	23430144	70740224	18340096
341	43970048	22309888	44320000	83600128	59740160	34479872	23880192	70459904	18040064
342	43549952	23889920	47619840	82990080	59429888	34170112	24410112	70159872	17629952
343	43209984	23620096	47350016	82349824	59139840	33859840	24770048	69870080	17040128
344	42909952	23330048	47059968	81789952	58840064	32969984	24410112	69580032	16739840
345	42589952	23040000	44640000	81329920	59090176	33440000	24869888	69300224	16920064
346	42200064	22500096	47000064	80870144	58889984	33140224	24809984	69009920	16620032
347	42609920	22540032	46680064	80420096	58490112	32819968	27880192	68679936	16240128
348	42449920	22099968	45509888	80119808	58189824	32539904	44120064	68360192	15709952
349	45329920	21710080	45189888	79699968	57929984	32970240	42600192	68089856	15269888
350	45330176	24869888	44840192	79010048	57489920	33539840	40440064	67790080	14980096
351	45080064	24590080	43960064	78649856	57020160	33260032	40109824	67460096	22480128
352	44759808	25129984	43609856	78210048	57149952	32940032	39699968	66850048	22169856
353	44329984	25690112	43310080	77829888	56689920	30579968	39360000	66560000	21750016
354	43879936	26200064	42769920	77450240	56300032	30309888	38889984	66229760	21329920
355	43510016	29779968	42189824	77029888	55869952	29190144	38550016	69760000	20829952
356	43209984	33619968	46330112	76549888	55470080	28849920	38210048	70990080	20570112
357	42889984	33909760	45989888	76110080	54860032	28359936	37910016	72849920	20279808
358	42429952	33619968	45699840	75699968	54500096	28480000	37590016	72530176	19670016
